measure,t,est,se
d,0,-0.05683339509373674,0.005251953772099631
d_prime,0,0,0
AM,0,-0.6604673269776642,0.01777343463635392
d,1,-1.5958259069260692,0.09690118953017784
d_prime,1,-1.3728620499712454,0.0814230845292728
AM,1,-2.125388244066083,0.05095976642684326
d,2,-3.0848066445333915,0.19297595741749732
d_prime,2,-2.8026206206521445,0.16625991312101426
AM,2,-3.6821712133273743,0.10121838915569024
d,3,-4.490211733444492,0.2823171896056604
d_prime,3,-4.240862317466612,0.2376448802295908
AM,3,-5.277217522719014,0.1676366798416264
d,4,-5.913884191278145,0.3731170048007233
d_prime,4,-5.699846058651879,0.328517169140345
AM,4,-6.893486371262563,0.22869990073720212
d,5,-7.358749067492519,0.4644773331088406
d_prime,5,-7.176167956924768,0.4328040009934904
AM,5,-8.525596705081108,0.30083603904874145
