measure,t,est,se,lo,hi,dt_t
d,0,-0.09198633224184538,0.010180366593273262,-0.10280504978398934,-0.06435798415623858,-0
d_prime,0,0,0,0,0,0
AM,0,-0.7651435359464382,0.03796923517079701,-0.8350124304960294,-0.6897833241660195,-0
d,1,-1.2729154315137852,0.128341978592326,-1.493032532601007,-0.991365914658513,-1.2729154315137852
d_prime,1,-0.9270465673432482,0.10377521507040759,-1.1159860062610587,-0.7134180982938702,-0.9270465673432482
AM,1,-2.227143830238972,0.10495494304635922,-2.4591385345036776,-2.0421648901191225,-2.227143830238972
d,2,-2.4223388116981908,0.24902039468969797,-2.8687710441417185,-1.9037384725398745,-4.8446776233963815
d_prime,2,-2.0969654307121828,0.19148029216299653,-2.4163102259505305,-1.6725835435484337,-4.1939308614243656
AM,2,-3.7816745339072058,0.20038217390898508,-4.073135167476975,-3.292181369840791,-7.5633490678144115
d,3,-3.6034806528360854,0.35333212067972447,-4.222433197677354,-2.8701242754985095,-10.810441958508257
d_prime,3,-3.335796108173219,0.31532908068867094,-3.852673510781707,-2.6006595173256115,-10.007388324519656
AM,3,-5.083761205560344,0.2968853465637774,-5.630114393578046,-4.464707787933367,-15.251283616681032
d,4,-4.850316932595029,0.49670554605373596,-5.857118598618245,-3.8858130573075793,-19.401267730380116
d_prime,4,-4.584968470201623,0.4267889339176398,-5.242260186905558,-3.5659843221744163,-18.339873880806493
AM,4,-6.460358583282312,0.42738323659508276,-7.242117943704154,-5.602850055286253,-25.841434333129246
d,5,-6.142436445469077,0.60888309197153,-7.27634559717284,-4.830097895750996,-30.712182227345384
d_prime,5,-5.865412544594563,0.559046702318512,-6.700681674948016,-4.60019266630361,-29.327062722972816
AM,5,-7.887525152364287,0.5272947463036428,-8.753760479466235,-6.640234895388801,-39.43762576182144
