measure,t,est,se,lo,hi,dt_t
d,0,-0.04153203715000632,0.005220049528857691,-0.05243480787563219,-0.0325681678991405,-0
d_prime,0,0,0,0,0,0
AM,0,-0.6171882641197021,0.018968185646765383,-0.6546893523930225,-0.580659293210783,-0
d,1,-1.6544381953137897,0.09970672426537822,-1.7154388685816544,-1.3471384353315403,-1.6544381953137897
d_prime,1,-1.3800337656463544,0.08996350804488823,-1.4348225786351325,-1.0990424154071963,-1.3800337656463544
AM,1,-2.0556246974680565,0.05792158971106413,-2.175168279412891,-1.951190994305102,-2.0556246974680565
d,2,-3.144723664821032,0.1800967914478496,-3.3208154499867693,-2.6447033229697157,-6.289447329642064
d_prime,2,-2.8339963618940334,0.15499984608988818,-2.98928833173134,-2.385576976046005,-5.667992723788067
AM,2,-3.5856044100458546,0.1176059549923659,-3.8288263542545153,-3.373384178361106,-7.171208820091709
d,3,-4.619734526601557,0.26149840929325724,-4.9216506351036164,-3.9157489105741172,-13.85920357980467
d_prime,3,-4.3172100155538455,0.22392097085624046,-4.602821541987369,-3.7162643522346452,-12.951630046661537
AM,3,-5.151810223989938,0.18629535445177928,-5.565804096877212,-4.8304284259121335,-15.455430671969815
d,4,-6.104098680655871,0.3442160649223166,-6.607460267251714,-5.294465365546008,-24.416394722623483
d_prime,4,-5.827032434078038,0.2917871737148368,-6.247539282844911,-5.10300949645301,-23.308129736312154
AM,4,-6.739435002827432,0.26128772226155766,-7.266727313801566,-6.272471708943144,-26.957740011309728
d,5,-7.615079673578519,0.4014609701057708,-8.283769974964716,-6.658554878705033,-38.075398367892596
d_prime,5,-7.358194755261207,0.3521867498832569,-7.8769484073746145,-6.536372531273039,-36.79097377630603
AM,5,-8.34320142650535,0.37442996941938667,-9.152854599505453,-7.733762275164402,-41.716007132526755
