histid_1940,birthyr_son,statefip_1940,countyicp_1940,educd_1940,lit_son,empstatd_1940,labforce_1940,occ_son,macro_son,meso_son,urban_1900,urban_1910,urban_1920,urban_1930,urban_1940,wkswork1_1940,histid_pop_1900,histid_pop_1910,histid_pop_1920,histid_pop_1930,histid_pop_1940,birthyr_pop,birthyr_spread,spread_mad,spread_flag,attachment_level_son,attachment_level_pop,statefip_pop_1900,statefip_pop_1910,statefip_pop_1920,statefip_pop_1930,statefip_pop_1940,countyicp_pop_1900,countyicp_pop_1910,countyicp_pop_1920,countyicp_pop_1930,countyicp_pop_1940,educd_pop_1940,lit_pop,empstatd_pop_1910,empstatd_pop_1930,empstatd_pop_1940,labforce_pop_1910,labforce_pop_1920,labforce_pop_1930,labforce_pop_1940,urban_pop_1900,urban_pop_1910,urban_pop_1920,urban_pop_1930,urban_pop_1940,wkswork1_pop_1940,occ_pop,occ_pop_attach,picked_year_attach,meso_pop,macro_pop,meso_pop_attach,macro_pop_attach,w_parent_flag_1900,w_parent_flag_1910,w_parent_flag_1920,w_parent_flag_1930,w_parent_flag_1940
0006F374-7B02-448A-B10B-E618E8CA605E,1920,46,1210,25,4,34,1,999,nilf,nilf,NA,NA,NA,1,1,0,NA,NA,NA,ED1E902B-6560-4E5C-A531-18FB51909372,E3E8A2B7-2F69-40D3-B302-2AF48DEE07F8,1898,0,0,FALSE,NA,NA,NA,NA,NA,46,46,NA,NA,NA,70,1210,23,4,NA,10,21,NA,NA,2,2,NA,NA,NA,1,1,16,820,820,1930,farmworker,farming,farmworker,farming,0,0,0,1,1
0007546C-0540-40E2-B0CC-6D1A4623876F,1919,35,530,17,4,11,2,983,nilf,nilf,NA,NA,NA,1,1,0,NA,NA,NA,2B7493A4-4108-45C8-841B-3BCF04703203,5D9A387B-9EC2-4BEE-9959-F5FB4F52C616,1872,4,2,FALSE,NA,NA,NA,NA,NA,35,35,NA,NA,NA,530,530,2,1,NA,10,11,NA,NA,2,2,NA,NA,NA,1,1,0,820,820,1930,farmworker,farming,farmworker,farming,0,0,0,1,1
000911C4-E000-4B4F-B9AB-63B6AA22DF6A,1905,23,190,26,4,11,2,970,manual,unskilled,NA,1,2,2,2,52,NA,4C1D77DA-EAAB-4F19-9E4B-3D6D5E4EE5F5,587D34C8-2FCA-4211-A6E1-1B489E47B425,5D5E4F9F-FC45-49C4-97EF-9170A6978907,NA,1867,2,1,FALSE,NA,NA,NA,23,23,23,NA,NA,190,190,190,NA,NA,4,30,10,NA,2,2,2,NA,NA,1,2,2,NA,NA,970,979,1910,unskilled,manual,nilf,nilf,0,1,1,1,0
00091554-BF28-4000-B91E-C5EA7F92E677,1917,40,10,2,4,34,1,100,farming,farmer,NA,NA,1,1,1,52,NA,8506D8E3-1D1F-443D-851D-C48875A28568,C1FF5A97-AD1E-44D9-A74C-4212601295D5,9ECEB684-5875-4565-BBD0-57F046CECAD9,31CAD711-50A8-4E1D-9BC2-7BAD919FD455,1884,1,0.5,FALSE,4,NA,NA,40,40,40,40,NA,10,10,10,10,26,4,10,10,10,2,1,2,2,NA,1,1,1,1,50,100,100,1930,farmer,farming,farmer,farming,0,0,1,1,1
000C4A46-E79B-4EB8-A349-ABFB38C0D9E2,1904,35,430,23,4,10,2,100,farming,farmer,NA,1,1,1,1,34,NA,NA,7AAF34E0-0C7B-4CD7-BC1E-AEADC44251BE,NA,NA,1875,0,0,FALSE,NA,NA,NA,NA,35,NA,NA,NA,NA,430,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,1,NA,NA,NA,100,100,1920,farmer,farming,farmer,farming,0,0,1,0,0
000CE229-7EFB-46EA-8153-DE6B035D6FF6,1916,40,750,60,4,10,2,100,farming,farmer,NA,NA,1,1,1,52,NA,NA,C6C28570-5220-481F-B9E5-A38C170BF7AE,D865C95F-8A91-483B-A6D1-152EA4882495,NA,1882,1,0.5,FALSE,NA,NA,NA,NA,40,40,NA,NA,NA,750,750,NA,NA,4,NA,10,NA,NA,2,2,NA,NA,NA,1,1,NA,NA,490,490,1930,nonmanual,nonmanual,nonmanual,nonmanual,0,0,1,1,0
001BFC19-9245-422F-82FA-A3D8B65C5B72,1900,32,310,26,4,10,2,100,farming,farmer,NA,1,1,1,1,52,NA,CE378DD9-6ECF-44E7-9E6B-5D77CF3A4AFF,AB3E67CC-F77D-4703-88B1-BEDB79074524,NA,NA,1871,2,1,FALSE,NA,NA,NA,32,32,NA,NA,NA,310,310,NA,NA,NA,1,10,NA,NA,2,2,NA,NA,NA,1,1,NA,NA,NA,100,100,1910,farmer,farming,farmer,farming,0,1,1,0,0
00284838-9056-4DD5-B473-07A8DEB06D2D,1915,46,1210,23,4,34,1,999,nilf,nilf,NA,NA,1,1,1,0,NA,NA,5E8A0020-A818-488F-86DA-6B7EECCF8DF9,67FD6143-95AB-4E98-B18A-0A61127FF0AD,NA,1890,1,0.5,FALSE,NA,NA,NA,NA,46,46,NA,NA,NA,1210,1210,NA,NA,4,NA,10,NA,NA,2,2,NA,NA,NA,1,1,NA,NA,100,100,1930,farmer,farming,farmer,farming,0,0,1,1,0
00351D91-CA79-4625-897B-AF0D1EA99484,1915,6,230,26,4,11,2,683,manual,unskilled,NA,NA,1,1,1,45,NA,NA,86800BDB-3631-4FB1-A372-07791D379292,631A06DE-DF74-42E3-8F8B-4CBE80F98C0C,10AA080E-AE74-4C88-8205-E20318E913A1,1885,3,1,FALSE,NA,NA,NA,NA,6,6,6,NA,NA,230,230,230,22,4,NA,10,30,NA,2,2,1,NA,NA,1,1,1,50,100,100,1930,farmer,farming,farmer,farming,0,0,1,1,1
003B499A-A7EC-4309-B058-D0387CE57BB5,1903,40,1050,40,4,10,2,650,manual,unskilled,NA,1,1,1,2,44,NA,A58CB470-880E-4DC3-928E-64239A44A295,3CAB60C3-9D6E-4250-96C1-44E8E069A2E8,2C5A17B6-1774-4F32-8AF3-1C6B4181639D,1DA78F51-BC99-4393-842E-C2C14862204A,1863,3,0.5,FALSE,NA,NA,NA,40,40,40,40,NA,1050,1050,1050,1050,23,3,10,30,32,2,2,1,1,NA,1,1,1,2,0,970,970,1910,unskilled,manual,unskilled,manual,0,1,1,1,1
