covariate,Type,Diff.Un,Diff.Adj
cohort_1891-1895,Binary,-0.053367861203480374,-2.4502956881516935e-4
cohort_1896-1900,Binary,-0.03739521202116644,-8.301829496006607e-4
cohort_1901-1905,Binary,-0.019743034247194424,-0.003610865037757066
cohort_1906-1910,Binary,0.008212371614646496,-0.004217340816979109
cohort_1911-1915,Binary,0.027964222567913227,0.002415247929215658
cohort_1916-1920,Binary,0.0743295132892815,0.006488170443947172
region_basin,Binary,-0.004567041059527037,2.5291993937124474e-4
region_cali,Binary,-0.007017447880739783,-0.0020460924788074097
region_glakes,Binary,0.031167090851715998,8.215337080919038e-4
region_midwest,Binary,-0.0021189557594815285,-4.733803484885703e-4
region_nc,Binary,0.009908334800141451,9.288083569146399e-5
region_northeast,Binary,-0.007884456749775219,-0.003965996671704643
region_nplains,Binary,0.0769497717329426,8.380698911525097e-4
region_nw,Binary,0.009011748736562845,3.07509276464453e-4
region_ok,Binary,0.02927672881175858,0.004537067057921479
region_prairie,Binary,0.001958222133420867,-1.1152271977343808e-4
region_south,Binary,-0.011435381948904335,1.8509692631601266e-4
region_sw,Binary,-0.12524861366811446,-4.3808541622880615e-4
education_0,Binary,-0.09752077079577116,-0.0027430807399349555
education_1-4,Binary,-0.019043168559245593,-8.81607155619607e-4
education_13+,Binary,0.0030363213403930417,0.0011358653688853595
education_5-8,Binary,0.06952832208251863,4.7470068034966006e-4
education_9-12,Binary,0.05390263248448751,0.0019815275169555446
education_missing,Binary,-0.009903336552382493,3.259432938467616e-5
urban_1940_2,Binary,-0.04283905864219555,-0.007051554311990352
